,x,y,h,s
263,-0.0075776712516054025,-0.9594529209773579,114.36999504501722,75.74311099841725
264,-0.007771972781832447,-0.9760520757662317,116.26000968981441,75.48984490986723
265,-0.008160573980817636,-0.9924582287403549,118.14001457197412,75.23690088739549
266,-0.008160576397702238,-1.0088643914417725,120.02001945222125,74.98435958282184
267,-0.008549180189125524,-1.0416767427901688,123.7600096803418,74.48046039169175
268,-0.00874348223606913,-1.0580829313165707,125.61999502860084,74.22904654398539
269,-0.009132084224656275,-1.0744891311650566,127.49005117993192,73.97800741614188
270,-0.009132086836187277,-1.0908953372594492,129.34002676097464,73.72736027474552
271,-0.009520691846586877,-1.1237077799565338,133.0500487296576,73.22717477516413
272,-0.009909294339280662,-1.1399210041441334,134.90002431098583,72.97758281481336
273,-0.010103597141644827,-1.1561342359706501,136.74005116429913,72.72831498826531
274,-0.010103600052033939,-1.1723474772158662,138.58001698255907,72.47941455686325
275,-0.010492206105214874,-1.2047739860779068,142.2499998853551,71.98280702064935
276,-0.010880809448906702,-1.2209872536310906,144.08001697174603,71.73508093338272
277,-0.011075112828627923,-1.2372005285697394,145.9000242945643,71.48773131363028
278,-0.011075115997925638,-1.2534138128611525,147.72003161511338,71.24074087811702
279,-0.01185232385749429,-1.2856473961791772,151.3500364905509,70.7478341030073
280,-0.012046627657599882,-1.3016676950026975,153.16003404673015,70.50186598214462
281,-0.012046631036276382,-1.3178810142930728,154.97003160171397,70.25623192228615
282,-0.012240935194116561,-1.3346733937063175,156.8600462469589,69.99868904337004
283,-0.012435239256007924,-1.350500706966478,158.66003403547225,69.75379438038739
284,-0.012823844060996938,-1.3667140499863266,160.45001205981092,69.50922680847567
285,-0.012823847645307735,-1.3827343906245155,162.2400511177728,69.2650043534584
286,-0.013018152001184247,-1.3985617287797028,164.03002914247287,69.02114553759863
287,-0.013406757290446061,-1.4147750968502244,165.8099974020589,68.77765463728639
288,-0.01379536669982937,-1.446429813476943,169.36999495183412,68.29187011316982
289,-0.013989671489925372,-1.4626432063527666,171.1400144798976,68.04954592390132
290,-0.014183976458467924,-1.4782775728404807,172.9100340076325,67.80758562061683
291,-0.014572582514122304,-1.494490981313661,174.67004377038847,67.56600834598804
