,timeUS,a_x,a_y,a_z,g_x,g_y,g_z
374,54394626,9.217430114746094,-0.0652371495962143,-3.3563480377197266,0.0007903258665464818,0.0007886065868660808,0.0008028310257941484
376,54414626,9.216890335083008,-0.06517153978347778,-3.355944871902466,0.000746808887924999,0.000791161204688251,0.0007767673814669251
378,54434626,9.217058181762695,-0.06499481946229935,-3.356005907058716,0.0007981245289556682,0.0007747228373773396,0.0007861093035899103
381,54454626,9.219695091247559,-0.06478683650493622,-3.354975700378418,0.0008442552061751485,0.0007947058766148984,0.0009610415436327457
382,54474626,9.216758728027344,-0.06487364321947098,-3.3558602333068848,0.0008558757835999131,0.0007375924615189433,0.0007177195511758327
384,54494626,9.217324256896973,-0.0642574280500412,-3.35630202293396,0.0008068025344982743,0.0007317736162804067,0.0007954044849611819
386,54514626,9.217268943786621,-0.06469711661338806,-3.3565518856048584,0.0007644249708391726,0.0007952501764521003,0.0007772467797622085
388,54534626,9.217449188232422,-0.06522328406572342,-3.355513095855713,0.0008053465280681849,0.0008270432008430362,0.0008051328477449715
391,54554626,9.219657897949219,-0.06343109160661697,-3.3544516563415527,0.0007846911903470755,0.000993268913589418,0.0007429909892380238
392,54574626,9.216466903686523,-0.065554678440094,-3.356844902038574,0.000775221677031368,0.0007135862251743674,0.0008025411516427994
394,54594626,9.217269897460938,-0.06514906883239746,-3.356137275695801,0.0008474827045574784,0.0007653525099158287,0.0007632522028870881
396,54614626,9.216472625732422,-0.06543464958667755,-3.3573403358459473,0.000782633840572089,0.0008080264087766409,0.0007490349235013127
399,54634626,9.217819213867188,-0.06518435478210449,-3.3570871353149414,0.0009319434757344425,0.0008432040340267122,0.0008488660678267479
401,54654626,9.216571807861328,-0.06368589401245117,-3.327914237976074,0.0008243348565883934,0.00045467159361578524,0.0007049574051052332
402,54674626,9.216085433959961,-0.0648016408085823,-3.368189811706543,0.0007981863454915583,0.0007594201597385108,0.0008057543309405446
404,54694626,9.216378211975098,-0.06597034633159637,-3.3552300930023193,0.0008172018569894135,0.0007998523069545627,0.0008125979802571237
406,54714626,9.218076705932617,-0.0653165727853775,-3.355642318725586,0.0008032796904444695,0.0008077078382484615,0.0007997080683708191
409,54734626,9.218805313110352,-0.06539087742567062,-3.3572800159454346,0.0008339189807884395,0.0008306195959448814,0.0007605958380736411
411,54754626,9.216238021850586,-0.06498740613460541,-3.3559458255767822,0.0007796165300533175,0.0008324163500219584,0.000748790567740798
412,54774626,9.218107223510742,-0.06431368738412857,-3.3569390773773193,0.0008584472816437483,0.0008823889074847102,0.00079715735046193
414,54794626,9.217522621154785,-0.06540156900882721,-3.3553497791290283,0.0008531154599040747,0.0008036450017243624,0.0008255736902356148
416,54814626,9.216438293457031,-0.06460492312908173,-3.3556671142578125,0.000756126013584435,0.0007767024799250066,0.0008407308487221599
418,54834626,9.216606140136719,-0.06519783288240433,-3.3561911582946777,0.0007660641567781568,0.0008153465460054576,0.0007735230028629303
421,54854626,9.21578311920166,-0.0636516585946083,-3.3569350242614746,0.0007630833424627781,0.0008898255764506757,0.0007190955802798271
422,54874626,9.215861320495605,-0.06476076692342758,-3.3549857139587402,0.0008054313366301358,0.0007522645173594356,0.0007682511932216585
424,54894626,9.217608451843262,-0.06332489103078842,-3.356565475463867,0.0007764016045257449,0.0008000959642231464,0.0008116595563478768
426,54914626,9.216318130493164,-0.0645083338022232,-3.3562517166137695,0.0008031576289795339,0.0007967331330291927,0.0008458022493869066
429,54934626,9.215837478637695,-0.06471329927444458,-3.353102684020996,0.0006479363073594868,0.0006934445118531585,0.0007097430061548948
431,54954626,9.21579360961914,-0.06552359461784363,-3.3559536933898926,0.0008086948655545712,0.0008362458320334554,0.0006623089429922402
432,54974626,9.216368675231934,-0.06431291252374649,-3.3557944297790527,0.0007953854510560632,0.0008182821329683065,0.0008154026581905782
434,54994626,9.216251373291016,-0.0651170015335083,-3.3559131622314453,0.0007755348924547434,0.0008122377912513912,0.0007676184759475291
436,55014626,9.217415809631348,-0.0654188022017479,-3.3555948734283447,0.0007960524526424706,0.000811158970464021,0.0007101324154064059
438,55034626,9.216163635253906,-0.06409500539302826,-3.3557534217834473,0.000762052892241627,0.0008230957901105285,0.0006981914048083127
