,timeUS,lat,lon,alt
643,60554626,-35.3632649,149.1652374,584.8499755859375
644,60574626,0.0,0.0,0.0
646,60594626,-35.3632649,149.1652374,584.8499755859375
647,60614626,-35.3632649,149.1652374,584.85
649,60634626,-35.3632649,149.1652374,584.8499755859375
650,60654626,-35.3632649,149.1652374,584.8499755859375
651,60674626,0.0,0.0,0.0
653,60694626,-35.3632649,149.1652374,584.8499755859375
654,60714626,-35.3632649,149.1652374,584.8499755859375
655,60734626,-35.3632649,149.1652374,584.8499755859375
656,60754626,-35.3632649,149.1652374,584.8499755859375
657,60774626,0.0,0.0,0.0
659,60794626,-35.3632649,149.1652374,584.8499755859375
660,60814626,-35.3632649,149.1652374,584.85
662,60834626,-35.3632649,149.1652374,584.8499755859375
663,60854626,-35.3632649,149.1652374,584.8499755859375
664,60874626,0.0,0.0,0.0
666,60894626,-35.3632649,149.1652374,584.8499755859375
667,60914626,-35.3632649,149.1652374,584.8499755859375
668,60934626,-35.3632649,149.1652374,584.8499755859375
669,60954626,-35.3632649,149.1652374,584.8499755859375
670,60974626,0.0,0.0,0.0
672,60994626,-35.3632649,149.1652374,584.8499755859375
673,61014626,-35.3632649,149.1652374,584.85
675,61034626,-35.3632649,149.1652374,584.8499755859375
676,61054626,-35.3632649,149.1652374,584.8499755859375
677,61074626,0.0,0.0,0.0
679,61094626,-35.3632649,149.1652374,584.8499755859375
680,61114626,-35.3632649,149.1652374,584.8499755859375
681,61134626,-35.3632649,149.1652374,584.8499755859375
682,61154626,-35.3632649,149.1652374,584.8499755859375
683,61174626,0.0,0.0,0.0
685,61194626,-35.3632649,149.1652374,584.8499755859375
686,61214626,-35.3632649,149.1652374,584.85
688,61234626,-35.3632649,149.1652374,584.8499755859375
689,61254626,-35.3632649,149.1652374,584.8499755859375
690,61274626,0.0,0.0,0.0
692,61294626,-35.3632649,149.1652374,584.8499755859375
693,61314626,-35.3632649,149.1652374,584.8499755859375
694,61334626,-35.3632649,149.1652374,584.8499755859375
695,61354626,-35.3632649,149.1652374,584.8499755859375
696,61374626,0.0,0.0,0.0
698,61394626,-35.3632649,149.1652374,584.8499755859375
699,61414626,-35.3632649,149.1652374,584.85
701,61434626,-35.3632649,149.1652374,584.8499755859375
702,61454626,-35.3632649,149.1652374,584.8499755859375
703,61474626,0.0,0.0,0.0
705,61494626,-35.3632649,149.1652374,584.8499755859375
706,61514626,-35.3632649,149.1652374,584.8499755859375
707,61534626,-35.3632649,149.1652374,584.8499755859375
708,61554626,-35.3632649,149.1652374,584.8499755859375
709,61574626,0.0,0.0,0.0
711,61594626,-35.3632649,149.1652374,584.8499755859375
712,61614626,-35.3632649,149.1652374,584.85
714,61634626,-35.3632649,149.1652374,584.8499755859375
715,61654626,-35.3632649,149.1652374,584.8499755859375
716,61674626,0.0,0.0,0.0
718,61694626,-35.3632649,149.1652374,584.8499755859375
719,61714626,-35.3632649,149.1652374,584.8499755859375
720,61734626,-35.3632649,149.1652374,584.8499755859375
721,61754626,-35.3632649,149.1652374,584.8499755859375
722,61774626,0.0,0.0,0.0
724,61794626,-35.3632649,149.1652374,584.8499755859375
725,61814626,-35.3632649,149.1652374,584.85
727,61834626,-35.3632649,149.1652374,584.8499755859375
728,61854626,-35.3632649,149.1652374,584.8499755859375
729,61874626,0.0,0.0,0.0
731,61894626,-35.3632649,149.1652374,584.8499755859375
732,61914626,-35.3632649,149.1652374,584.8499755859375
733,61934626,-35.3632649,149.1652374,584.8499755859375
734,61954626,-35.3632649,149.1652374,584.8499755859375
735,61974626,0.0,0.0,0.0
737,61994626,-35.3632649,149.1652374,584.8499755859375
738,62014626,-35.3632649,149.1652374,584.85
740,62034626,-35.3632649,149.1652374,584.8499755859375
741,62054626,-35.3632649,149.1652374,584.8499755859375
742,62074626,0.0,0.0,0.0
744,62094626,-35.3632649,149.1652374,584.8499755859375
745,62114626,-35.3632649,149.1652374,584.8499755859375
746,62134626,-35.3632649,149.1652374,584.8499755859375
747,62154626,-35.3632649,149.1652374,584.8499755859375
748,62174626,0.0,0.0,0.0
750,62194626,-35.3632649,149.1652374,584.8499755859375
751,62214626,-35.3632649,149.1652374,584.85
753,62234626,-35.3632649,149.1652374,584.8499755859375
754,62254626,-35.3632649,149.1652374,584.8499755859375
755,62274626,0.0,0.0,0.0
757,62294626,-35.3632649,149.1652374,584.8499755859375
758,62314626,-35.3632649,149.1652374,584.8499755859375
759,62334626,-35.3632649,149.1652374,584.8499755859375
760,62354626,-35.3632649,149.1652374,584.8499755859375
761,62374626,0.0,0.0,0.0
763,62394626,-35.3632649,149.1652374,584.8499755859375
764,62414626,-35.3632649,149.1652374,584.85
766,62434626,-35.3632649,149.1652374,584.8499755859375
767,62454626,-35.3632649,149.1652374,584.8499755859375
768,62474626,0.0,0.0,0.0
770,62494626,-35.3632649,149.1652374,584.8499755859375
771,62514626,-35.3632649,149.1652374,584.8499755859375
772,62534626,-35.3632649,149.1652374,584.8499755859375
773,62554626,-35.3632649,149.1652374,584.8499755859375
774,62574626,0.0,0.0,0.0
776,62594626,-35.3632649,149.1652374,584.8499755859375
777,62614626,-35.3632649,149.1652374,584.85
779,62634626,-35.3632649,149.1652374,584.8499755859375
780,62654626,-35.3632649,149.1652374,584.8499755859375
781,62674626,0.0,0.0,0.0
783,62694626,-35.3632649,149.1652374,584.8499755859375
784,62714626,-35.3632649,149.1652374,584.8499755859375
785,62734626,-35.3632649,149.1652374,584.8499755859375
786,62754626,-35.3632649,149.1652374,584.8499755859375
787,62774626,0.0,0.0,0.0
789,62794626,-35.3632649,149.1652374,584.8499755859375
790,62814626,-35.3632649,149.1652374,584.85
792,62834626,-35.3632649,149.1652374,584.8499755859375
793,62854626,-35.3632649,149.1652374,584.8499755859375
794,62874626,0.0,0.0,0.0
796,62894626,-35.3632649,149.1652374,584.8499755859375
797,62914626,-35.3632649,149.1652374,584.8499755859375
798,62934626,-35.3632649,149.1652374,584.8499755859375
799,62954626,-35.3632649,149.1652374,584.8499755859375
800,62974626,0.0,0.0,0.0
802,62994626,-35.3632649,149.1652374,584.8499755859375
803,63014626,-35.3632649,149.1652374,584.85
805,63034626,-35.3632649,149.1652374,584.8499755859375
806,63054626,-35.3632649,149.1652374,584.8499755859375
807,63074626,0.0,0.0,0.0
809,63094626,-35.3632649,149.1652374,584.8499755859375
810,63114626,-35.3632649,149.1652374,584.8499755859375
811,63134626,-35.3632649,149.1652374,584.8499755859375
812,63154626,-35.3632649,149.1652374,584.8499755859375
814,63174626,-35.3632649,149.1652374,584.8499755859375
815,63194626,-35.3632649,149.1652374,584.8499755859375
816,63214626,-35.3632649,149.1652374,584.85
818,63234626,-35.3632649,149.1652374,584.8499755859375
819,63254626,-35.3632649,149.1652374,584.8499755859375
820,63274626,0.0,0.0,0.0
822,63294626,-35.3632649,149.1652374,584.8499755859375
823,63314626,-35.3632649,149.1652374,584.8499755859375
824,63334626,-35.3632649,149.1652374,584.8499755859375
825,63354626,-35.3632649,149.1652374,584.8499755859375
827,63374626,-35.3632649,149.1652374,584.8499755859375
828,63394626,-35.3632649,149.1652374,584.8499755859375
829,63414626,-35.3632649,149.1652374,584.85
831,63434626,-35.3632649,149.1652374,584.8499755859375
832,63454626,-35.3632649,149.1652374,584.8499755859375
833,63474626,0.0,0.0,0.0
835,63494626,-35.3632649,149.1652374,584.8499755859375
836,63514626,-35.3632649,149.1652374,584.8499755859375
837,63534626,-35.3632649,149.1652374,584.8499755859375
838,63554626,-35.3632649,149.1652374,584.8499755859375
840,63574626,-35.3632649,149.1652374,584.8499755859375
841,63594626,-35.3632649,149.1652374,584.8499755859375
842,63614626,-35.3632649,149.1652374,584.85
844,63634626,-35.3632649,149.1652374,584.8499755859375
845,63654626,-35.3632649,149.1652374,584.8499755859375
846,63674626,0.0,0.0,0.0
848,63694626,-35.3632649,149.1652374,584.8499755859375
849,63714626,-35.3632649,149.1652374,584.8499755859375
850,63734626,-35.3632649,149.1652374,584.8499755859375
851,63754626,-35.3632649,149.1652374,584.8499755859375
853,63774626,-35.3632649,149.1652374,584.8499755859375
854,63794626,-35.3632649,149.1652374,584.8499755859375
855,63814626,-35.3632649,149.1652374,584.85
857,63834626,-35.3632649,149.1652374,584.8499755859375
858,63854626,-35.3632649,149.1652374,584.8499755859375
859,63874626,0.0,0.0,0.0
861,63894626,-35.3632649,149.1652374,584.8499755859375
862,63914626,-35.3632649,149.1652374,584.8499755859375
863,63934626,-35.3632649,149.1652374,584.8499755859375
864,63954626,-35.3632649,149.1652374,584.8499755859375
866,63974626,-35.3632649,149.1652374,584.8499755859375
867,63994625,-35.3632649,149.1652374,584.8499755859375
868,64014618,-35.3632649,149.1652374,584.85
870,64034612,-35.3632649,149.1652374,584.8499755859375
871,64054605,-35.3632649,149.1652374,584.8499755859375
872,64074598,0.0,0.0,0.0
874,64094591,-35.3632649,149.1652374,584.8499755859375
875,64114585,-35.3632649,149.1652374,584.8499755859375
876,64134578,-35.3632649,149.1652374,584.8499755859375
877,64154571,-35.3632649,149.1652374,584.8499755859375
879,64174565,-35.3632649,149.1652374,584.8499755859375
880,64194558,-35.3632649,149.1652374,584.8499755859375
881,64214551,-35.3632649,149.1652374,584.85
883,64234544,-35.3632649,149.1652374,584.8499755859375
884,64254538,-35.3632649,149.1652374,584.8499755859375
885,64274531,0.0,0.0,0.0
887,64294524,-35.3632649,149.1652374,584.8499755859375
888,64314517,-35.3632649,149.1652374,584.8499755859375
889,64334511,-35.3632649,149.1652374,584.8499755859375
890,64354504,-35.3632649,149.1652374,584.8499755859375
892,64374497,-35.3632649,149.1652374,584.8499755859375
893,64394491,-35.3632649,149.1652374,584.8499755859375
894,64414484,-35.3632649,149.1652374,584.85
896,64434477,-35.3632649,149.1652374,584.8499755859375
897,64454470,-35.3632649,149.1652374,584.8499755859375
898,64474464,0.0,0.0,0.0
900,64494457,-35.3632649,149.1652374,584.8499755859375
901,64514450,-35.3632649,149.1652374,584.8499755859375
902,64534444,-35.3632649,149.1652374,584.8499755859375
903,64554437,-35.3632649,149.1652374,584.8499755859375
904,64574430,0.0,0.0,0.0
906,64594423,-35.3632649,149.1652374,584.8499755859375
907,64614417,-35.3632649,149.1652374,584.85
909,64634410,-35.3632649,149.1652374,584.8499755859375
910,64654403,-35.3632649,149.1652374,584.8499755859375
911,64674397,0.0,0.0,0.0
913,64694390,-35.3632649,149.1652374,584.8499755859375
914,64714383,-35.3632649,149.1652374,584.8499755859375
915,64734376,-35.3632649,149.1652374,584.8499755859375
916,64754370,-35.3632649,149.1652374,584.8499755859375
917,64774363,0.0,0.0,0.0
919,64794356,-35.3632649,149.1652374,584.8499755859375
921,64814349,-35.3632649,149.1652374,584.8499755859375
922,64834343,-35.3632649,149.1652374,584.8499755859375
923,64854336,-35.3632649,149.1652374,584.8499755859375
924,64874329,0.0,0.0,0.0
926,64894323,-35.3632649,149.1652374,584.8499755859375
927,64914316,-35.3632649,149.1652374,584.8499755859375
928,64934309,-35.3632649,149.1652374,584.8499755859375
929,64954302,-35.3632649,149.1652374,584.8499755859375
930,64974296,0.0,0.0,0.0
932,64994289,-35.3632649,149.1652374,584.8499755859375
934,65014282,-35.3632649,149.1652374,584.8499755859375
935,65034276,-35.3632649,149.1652374,584.8499755859375
936,65054269,-35.3632649,149.1652374,584.8499755859375
937,65074262,0.0,0.0,0.0
939,65094255,-35.3632649,149.1652374,584.8499755859375
940,65114249,-35.3632649,149.1652374,584.8499755859375
941,65134242,-35.3632649,149.1652374,584.8499755859375
942,65154235,-35.3632649,149.1652374,584.8499755859375
943,65174229,0.0,0.0,0.0
945,65194222,-35.3632649,149.1652374,584.8499755859375
947,65214215,-35.3632649,149.1652374,584.8499755859375
948,65234208,-35.3632649,149.1652374,584.8499755859375
949,65254202,-35.3632649,149.1652374,584.8499755859375
950,65274195,0.0,0.0,0.0
952,65294188,-35.3632649,149.1652374,584.8499755859375
953,65314181,-35.3632649,149.1652374,584.8499755859375
954,65334175,-35.3632649,149.1652374,584.8499755859375
955,65354168,-35.3632649,149.1652374,584.8499755859375
956,65374161,0.0,0.0,0.0
958,65394155,-35.3632649,149.1652374,584.8499755859375
960,65414148,-35.3632649,149.1652374,584.8499755859375
961,65434141,-35.3632649,149.1652374,584.8499755859375
962,65454134,-35.3632649,149.1652374,584.8499755859375
963,65474128,0.0,0.0,0.0
965,65494121,-35.3632649,149.1652374,584.8499755859375
966,65514114,-35.3632649,149.1652374,584.8499755859375
967,65534108,-35.3632649,149.1652374,584.8499755859375
968,65554101,-35.3632649,149.1652374,584.8499755859375
969,65574094,0.0,0.0,0.0
971,65594087,-35.3632649,149.1652374,584.8499755859375
973,65614081,-35.3632649,149.1652374,584.8499755859375
974,65634074,-35.3632649,149.1652374,584.8499755859375
975,65654067,-35.3632649,149.1652374,584.8499755859375
976,65674061,0.0,0.0,0.0
978,65694054,-35.3632649,149.1652374,584.8499755859375
979,65714047,-35.3632649,149.1652374,584.8499755859375
980,65734040,-35.3632649,149.1652374,584.8499755859375
981,65754034,-35.3632649,149.1652374,584.8499755859375
982,65774027,0.0,0.0,0.0
984,65794020,-35.3632649,149.1652374,584.8499755859375
986,65814013,-35.3632649,149.1652374,584.8499755859375
987,65834007,-35.3632649,149.1652374,584.8499755859375
988,65854000,-35.3632649,149.1652374,584.8499755859375
989,65873993,-35.3632649,149.1652374,584.8499755859375
990,65893987,0.0,0.0,0.0
992,65913980,-35.3632649,149.1652374,584.8499755859375
993,65933973,-35.3632649,149.1652374,584.8499755859375
994,65953966,-35.3632649,149.1652374,584.8499755859375
995,65973960,-35.3632649,149.1652374,584.8499755859375
996,65993953,0.0,0.0,0.0
999,66014946,-35.3632649,149.1652374,584.8499755859375
1000,66034939,-35.3632649,149.1652374,584.8499755859375
1001,66054932,-35.3632649,149.1652374,584.8499755859375
1002,66074926,-35.3632649,149.1652374,584.8499755859375
1003,66094919,0.0,0.0,0.0
1005,66114912,-35.3632649,149.1652374,584.8499755859375
1006,66134906,-35.3632649,149.1652374,584.8499755859375
